Measure Names,Month of MONTH,ROUTE_NAME,Measure Values
Baseline Route Monthly Total Boardings (accessible copy),February 2023,23 Monterey,"74,000"
Monthly Route Recovery,February 2024,24 Divisadero,0.913949800
Route Monthly Total Boardings (accessible copy),February 2024,24 Divisadero,"279,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,24 Divisadero,"306,000"
Monthly Route Recovery,January 2024,24 Divisadero,0.860524771
Route Monthly Total Boardings (accessible copy),January 2024,24 Divisadero,"278,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,24 Divisadero,"323,000"
Monthly Route Recovery,December 2023,24 Divisadero,0.828751134
Route Monthly Total Boardings (accessible copy),December 2023,24 Divisadero,"265,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,24 Divisadero,"320,000"
Monthly Route Recovery,November 2023,24 Divisadero,0.821824194
Route Monthly Total Boardings (accessible copy),November 2023,24 Divisadero,"273,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,24 Divisadero,"332,000"
Monthly Route Recovery,October 2023,24 Divisadero,0.778191767
Route Monthly Total Boardings (accessible copy),October 2023,24 Divisadero,"299,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,24 Divisadero,"384,000"
Monthly Route Recovery,September 2023,24 Divisadero,0.830236215
Route Monthly Total Boardings (accessible copy),September 2023,24 Divisadero,"287,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,24 Divisadero,"345,000"
Monthly Route Recovery,August 2023,24 Divisadero,0.874154107
Route Monthly Total Boardings (accessible copy),August 2023,24 Divisadero,"287,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,24 Divisadero,"329,000"
Monthly Route Recovery,July 2023,24 Divisadero,0.802328749
Route Monthly Total Boardings (accessible copy),July 2023,24 Divisadero,"255,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,24 Divisadero,"317,000"
Monthly Route Recovery,June 2023,24 Divisadero,0.830578895
Route Monthly Total Boardings (accessible copy),June 2023,24 Divisadero,"260,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,24 Divisadero,"313,000"
Monthly Route Recovery,May 2023,24 Divisadero,0.852082500
Route Monthly Total Boardings (accessible copy),May 2023,24 Divisadero,"285,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,24 Divisadero,"334,000"
Monthly Route Recovery,April 2023,24 Divisadero,0.800770032
Route Monthly Total Boardings (accessible copy),April 2023,24 Divisadero,"274,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,24 Divisadero,"342,000"
Monthly Route Recovery,March 2023,24 Divisadero,0.789107639
Route Monthly Total Boardings (accessible copy),March 2023,24 Divisadero,"266,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,24 Divisadero,"337,000"
Monthly Route Recovery,February 2023,24 Divisadero,0.779774305
Route Monthly Total Boardings (accessible copy),February 2023,24 Divisadero,"238,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,24 Divisadero,"306,000"
Monthly Route Recovery,February 2024,25 Treasure Island,0.434642678
Route Monthly Total Boardings (accessible copy),February 2024,25 Treasure Island,"23,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,25 Treasure Island,"54,000"
Monthly Route Recovery,January 2024,25 Treasure Island,0.403147552
Route Monthly Total Boardings (accessible copy),January 2024,25 Treasure Island,"25,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,25 Treasure Island,"61,000"
Monthly Route Recovery,December 2023,25 Treasure Island,0.422282688
Route Monthly Total Boardings (accessible copy),December 2023,25 Treasure Island,"23,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,25 Treasure Island,"56,000"
Monthly Route Recovery,November 2023,25 Treasure Island,0.369972950
Route Monthly Total Boardings (accessible copy),November 2023,25 Treasure Island,"23,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,25 Treasure Island,"61,000"
Monthly Route Recovery,October 2023,25 Treasure Island,0.390020610
Route Monthly Total Boardings (accessible copy),October 2023,25 Treasure Island,"27,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,25 Treasure Island,"69,000"
Monthly Route Recovery,September 2023,25 Treasure Island,0.374707936
Route Monthly Total Boardings (accessible copy),September 2023,25 Treasure Island,"25,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,25 Treasure Island,"66,000"
Monthly Route Recovery,August 2023,25 Treasure Island,0.525715368
Route Monthly Total Boardings (accessible copy),August 2023,25 Treasure Island,"30,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,25 Treasure Island,"57,000"
Monthly Route Recovery,July 2023,25 Treasure Island,0.502061856
Route Monthly Total Boardings (accessible copy),July 2023,25 Treasure Island,"32,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,25 Treasure Island,"63,000"
Monthly Route Recovery,June 2023,25 Treasure Island,0.593076574
Route Monthly Total Boardings (accessible copy),June 2023,25 Treasure Island,"34,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,25 Treasure Island,"57,000"
Monthly Route Recovery,May 2023,25 Treasure Island,0.531258221
Route Monthly Total Boardings (accessible copy),May 2023,25 Treasure Island,"35,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,25 Treasure Island,"65,000"
Monthly Route Recovery,April 2023,25 Treasure Island,0.511817146
Route Monthly Total Boardings (accessible copy),April 2023,25 Treasure Island,"33,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,25 Treasure Island,"64,000"
Monthly Route Recovery,March 2023,25 Treasure Island,0.527999881
Route Monthly Total Boardings (accessible copy),March 2023,25 Treasure Island,"31,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,25 Treasure Island,"58,000"
Monthly Route Recovery,February 2023,25 Treasure Island,0.540664569
Route Monthly Total Boardings (accessible copy),February 2023,25 Treasure Island,"29,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,25 Treasure Island,"54,000"
Monthly Route Recovery,February 2024,27 Bryant,1.032863802
Route Monthly Total Boardings (accessible copy),February 2024,27 Bryant,"142,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,27 Bryant,"137,000"
Monthly Route Recovery,January 2024,27 Bryant,0.945586426
Route Monthly Total Boardings (accessible copy),January 2024,27 Bryant,"140,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,27 Bryant,"148,000"
Monthly Route Recovery,December 2023,27 Bryant,0.978063320
Route Monthly Total Boardings (accessible copy),December 2023,27 Bryant,"134,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,27 Bryant,"137,000"
Monthly Route Recovery,November 2023,27 Bryant,0.955224786
Route Monthly Total Boardings (accessible copy),November 2023,27 Bryant,"136,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,27 Bryant,"142,000"
Monthly Route Recovery,October 2023,27 Bryant,0.897984201
Route Monthly Total Boardings (accessible copy),October 2023,27 Bryant,"149,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,27 Bryant,"166,000"
Monthly Route Recovery,September 2023,27 Bryant,0.897369866
Route Monthly Total Boardings (accessible copy),September 2023,27 Bryant,"140,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,27 Bryant,"156,000"
Monthly Route Recovery,August 2023,27 Bryant,0.918258509
Route Monthly Total Boardings (accessible copy),August 2023,27 Bryant,"140,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,27 Bryant,"152,000"
Monthly Route Recovery,July 2023,27 Bryant,0.848432947
Route Monthly Total Boardings (accessible copy),July 2023,27 Bryant,"128,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,27 Bryant,"151,000"
Monthly Route Recovery,June 2023,27 Bryant,0.830247409
Route Monthly Total Boardings (accessible copy),June 2023,27 Bryant,"128,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,27 Bryant,"154,000"
Monthly Route Recovery,May 2023,27 Bryant,0.821947595
Route Monthly Total Boardings (accessible copy),May 2023,27 Bryant,"134,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,27 Bryant,"163,000"
Monthly Route Recovery,April 2023,27 Bryant,0.796832767
Route Monthly Total Boardings (accessible copy),April 2023,27 Bryant,"125,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,27 Bryant,"156,000"
Monthly Route Recovery,March 2023,27 Bryant,0.798759296
Route Monthly Total Boardings (accessible copy),March 2023,27 Bryant,"124,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,27 Bryant,"155,000"
Monthly Route Recovery,February 2023,27 Bryant,0.820431132
Route Monthly Total Boardings (accessible copy),February 2023,27 Bryant,"113,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,27 Bryant,"137,000"
Monthly Route Recovery,February 2024,28 19th Avenue,0.856477760
Route Monthly Total Boardings (accessible copy),February 2024,28 19th Avenue,"282,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,28 19th Avenue,"330,000"
Monthly Route Recovery,January 2024,28 19th Avenue,0.801901007
Route Monthly Total Boardings (accessible copy),January 2024,28 19th Avenue,"255,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,28 19th Avenue,"318,000"
Monthly Route Recovery,December 2023,28 19th Avenue,0.871792338
Route Monthly Total Boardings (accessible copy),December 2023,28 19th Avenue,"264,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,28 19th Avenue,"303,000"
Monthly Route Recovery,November 2023,28 19th Avenue,0.844249450
Route Monthly Total Boardings (accessible copy),November 2023,28 19th Avenue,"267,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,28 19th Avenue,"316,000"
Monthly Route Recovery,October 2023,28 19th Avenue,0.828802606
Route Monthly Total Boardings (accessible copy),October 2023,28 19th Avenue,"328,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,28 19th Avenue,"396,000"
Monthly Route Recovery,September 2023,28 19th Avenue,0.872492667
Route Monthly Total Boardings (accessible copy),September 2023,28 19th Avenue,"339,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,28 19th Avenue,"389,000"
Monthly Route Recovery,August 2023,28 19th Avenue,1.069350339
Route Monthly Total Boardings (accessible copy),August 2023,28 19th Avenue,"386,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,28 19th Avenue,"361,000"
Monthly Route Recovery,July 2023,28 19th Avenue,1.017233890
Route Monthly Total Boardings (accessible copy),July 2023,28 19th Avenue,"349,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,28 19th Avenue,"343,000"
Monthly Route Recovery,June 2023,28 19th Avenue,0.910276496
Route Monthly Total Boardings (accessible copy),June 2023,28 19th Avenue,"305,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,28 19th Avenue,"335,000"
Monthly Route Recovery,May 2023,28 19th Avenue,0.911249599
Route Monthly Total Boardings (accessible copy),May 2023,28 19th Avenue,"341,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,28 19th Avenue,"374,000"
Monthly Route Recovery,April 2023,28 19th Avenue,0.865293093
Route Monthly Total Boardings (accessible copy),April 2023,28 19th Avenue,"336,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,28 19th Avenue,"389,000"
Monthly Route Recovery,March 2023,28 19th Avenue,0.865480505
Route Monthly Total Boardings (accessible copy),March 2023,28 19th Avenue,"306,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,28 19th Avenue,"354,000"
Monthly Route Recovery,February 2023,28 19th Avenue,0.820794814
Route Monthly Total Boardings (accessible copy),February 2023,28 19th Avenue,"271,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,28 19th Avenue,"330,000"
Monthly Route Recovery,February 2024,28R 19th Avenue Rapid,0.671490722
Route Monthly Total Boardings (accessible copy),February 2024,28R 19th Avenue Rapid,"78,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,28R 19th Avenue Rapid,"116,000"
Monthly Route Recovery,January 2024,28R 19th Avenue Rapid,0.534069541
Route Monthly Total Boardings (accessible copy),January 2024,28R 19th Avenue Rapid,"57,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,28R 19th Avenue Rapid,"107,000"
Monthly Route Recovery,December 2023,28R 19th Avenue Rapid,0.519630273
Route Monthly Total Boardings (accessible copy),December 2023,28R 19th Avenue Rapid,"56,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,28R 19th Avenue Rapid,"107,000"
Monthly Route Recovery,November 2023,28R 19th Avenue Rapid,0.597514451
Route Monthly Total Boardings (accessible copy),November 2023,28R 19th Avenue Rapid,"67,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,28R 19th Avenue Rapid,"111,000"
Monthly Route Recovery,October 2023,28R 19th Avenue Rapid,0.514512519
Route Monthly Total Boardings (accessible copy),October 2023,28R 19th Avenue Rapid,"78,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,28R 19th Avenue Rapid,"151,000"
Monthly Route Recovery,September 2023,28R 19th Avenue Rapid,0.548814072
Route Monthly Total Boardings (accessible copy),September 2023,28R 19th Avenue Rapid,"73,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,28R 19th Avenue Rapid,"132,000"
Monthly Route Recovery,August 2023,28R 19th Avenue Rapid,0.364830989
Route Monthly Total Boardings (accessible copy),August 2023,28R 19th Avenue Rapid,"33,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,28R 19th Avenue Rapid,"91,000"
Monthly Route Recovery,February 2024,29 Sunset,0.904068682
Route Monthly Total Boardings (accessible copy),February 2024,29 Sunset,"390,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,29 Sunset,"431,000"
Monthly Route Recovery,January 2024,29 Sunset,0.827114748
Route Monthly Total Boardings (accessible copy),January 2024,29 Sunset,"367,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,29 Sunset,"444,000"
Monthly Route Recovery,December 2023,29 Sunset,0.869088869
Route Monthly Total Boardings (accessible copy),December 2023,29 Sunset,"352,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,29 Sunset,"405,000"
Monthly Route Recovery,November 2023,29 Sunset,0.847819854
Route Monthly Total Boardings (accessible copy),November 2023,29 Sunset,"377,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,29 Sunset,"445,000"
Monthly Route Recovery,October 2023,29 Sunset,0.834337791
Route Monthly Total Boardings (accessible copy),October 2023,29 Sunset,"442,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,29 Sunset,"529,000"
Monthly Route Recovery,September 2023,29 Sunset,0.841637153
Route Monthly Total Boardings (accessible copy),September 2023,29 Sunset,"421,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,29 Sunset,"500,000"
Monthly Route Recovery,August 2023,29 Sunset,1.007296162
Route Monthly Total Boardings (accessible copy),August 2023,29 Sunset,"399,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,29 Sunset,"396,000"
Monthly Route Recovery,July 2023,29 Sunset,0.808526796
Route Monthly Total Boardings (accessible copy),July 2023,29 Sunset,"323,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,29 Sunset,"400,000"
Monthly Route Recovery,June 2023,29 Sunset,0.770752822
Route Monthly Total Boardings (accessible copy),June 2023,29 Sunset,"321,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,29 Sunset,"416,000"
Monthly Route Recovery,May 2023,29 Sunset,0.803222907
Route Monthly Total Boardings (accessible copy),May 2023,29 Sunset,"385,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,29 Sunset,"480,000"
Monthly Route Recovery,April 2023,29 Sunset,0.794739434
Route Monthly Total Boardings (accessible copy),April 2023,29 Sunset,"377,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,29 Sunset,"475,000"
Monthly Route Recovery,March 2023,29 Sunset,0.800909344
Route Monthly Total Boardings (accessible copy),March 2023,29 Sunset,"360,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,29 Sunset,"449,000"
Monthly Route Recovery,February 2023,29 Sunset,0.785071013
Route Monthly Total Boardings (accessible copy),February 2023,29 Sunset,"338,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,29 Sunset,"431,000"
Monthly Route Recovery,February 2024,30 Stockton,0.674261337
Route Monthly Total Boardings (accessible copy),February 2024,30 Stockton,"403,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,30 Stockton,"597,000"
Monthly Route Recovery,January 2024,30 Stockton,0.688584642
Route Monthly Total Boardings (accessible copy),January 2024,30 Stockton,"424,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,30 Stockton,"615,000"
Monthly Route Recovery,December 2023,30 Stockton,0.610566107
Route Monthly Total Boardings (accessible copy),December 2023,30 Stockton,"415,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,30 Stockton,"680,000"
Monthly Route Recovery,November 2023,30 Stockton,0.577259243
Route Monthly Total Boardings (accessible copy),November 2023,30 Stockton,"388,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,30 Stockton,"672,000"
Monthly Route Recovery,October 2023,30 Stockton,0.611904385
Route Monthly Total Boardings (accessible copy),October 2023,30 Stockton,"457,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,30 Stockton,"747,000"
Monthly Route Recovery,September 2023,30 Stockton,0.645916812
Route Monthly Total Boardings (accessible copy),September 2023,30 Stockton,"461,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,30 Stockton,"714,000"
Monthly Route Recovery,August 2023,30 Stockton,0.664825597
Route Monthly Total Boardings (accessible copy),August 2023,30 Stockton,"485,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,30 Stockton,"730,000"
Monthly Route Recovery,July 2023,30 Stockton,0.647356822
Route Monthly Total Boardings (accessible copy),July 2023,30 Stockton,"457,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,30 Stockton,"707,000"
Monthly Route Recovery,June 2023,30 Stockton,0.640688199
Route Monthly Total Boardings (accessible copy),June 2023,30 Stockton,"434,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,30 Stockton,"678,000"
Monthly Route Recovery,May 2023,30 Stockton,0.640302641
Route Monthly Total Boardings (accessible copy),May 2023,30 Stockton,"453,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,30 Stockton,"708,000"
Monthly Route Recovery,April 2023,30 Stockton,0.661425583
Route Monthly Total Boardings (accessible copy),April 2023,30 Stockton,"434,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,30 Stockton,"656,000"
Monthly Route Recovery,March 2023,30 Stockton,0.606918127
Route Monthly Total Boardings (accessible copy),March 2023,30 Stockton,"425,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,30 Stockton,"699,000"
Monthly Route Recovery,February 2023,30 Stockton,0.620967304
Route Monthly Total Boardings (accessible copy),February 2023,30 Stockton,"371,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,30 Stockton,"597,000"
Monthly Route Recovery,February 2024,31 Balboa,0.509426144
Route Monthly Total Boardings (accessible copy),February 2024,31 Balboa,"123,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,31 Balboa,"242,000"
Monthly Route Recovery,January 2024,31 Balboa,0.471848399
Route Monthly Total Boardings (accessible copy),January 2024,31 Balboa,"112,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,31 Balboa,"238,000"
Monthly Route Recovery,December 2023,31 Balboa,0.456719384
Route Monthly Total Boardings (accessible copy),December 2023,31 Balboa,"106,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,31 Balboa,"233,000"
Monthly Route Recovery,November 2023,31 Balboa,0.463071362
Route Monthly Total Boardings (accessible copy),November 2023,31 Balboa,"119,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,31 Balboa,"257,000"
Monthly Route Recovery,October 2023,31 Balboa,0.459454941
Route Monthly Total Boardings (accessible copy),October 2023,31 Balboa,"134,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,31 Balboa,"292,000"
Monthly Route Recovery,September 2023,31 Balboa,0.460628758
Route Monthly Total Boardings (accessible copy),September 2023,31 Balboa,"130,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,31 Balboa,"282,000"
Monthly Route Recovery,August 2023,31 Balboa,0.513770208
Route Monthly Total Boardings (accessible copy),August 2023,31 Balboa,"120,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,31 Balboa,"234,000"
Monthly Route Recovery,July 2023,31 Balboa,0.412739987
Route Monthly Total Boardings (accessible copy),July 2023,31 Balboa,"96,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,31 Balboa,"233,000"
Monthly Route Recovery,June 2023,31 Balboa,0.408954158
Route Monthly Total Boardings (accessible copy),June 2023,31 Balboa,"94,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,31 Balboa,"230,000"
Monthly Route Recovery,May 2023,31 Balboa,0.431367188
Route Monthly Total Boardings (accessible copy),May 2023,31 Balboa,"110,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,31 Balboa,"256,000"
Monthly Route Recovery,April 2023,31 Balboa,0.443324826
Route Monthly Total Boardings (accessible copy),April 2023,31 Balboa,"111,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,31 Balboa,"250,000"
Monthly Route Recovery,March 2023,31 Balboa,0.408576142
Route Monthly Total Boardings (accessible copy),March 2023,31 Balboa,"106,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,31 Balboa,"260,000"
Monthly Route Recovery,February 2023,31 Balboa,0.407036065
Route Monthly Total Boardings (accessible copy),February 2023,31 Balboa,"98,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,31 Balboa,"242,000"
Monthly Route Recovery,February 2024,33 Ashbury/18th,0.861534330
Route Monthly Total Boardings (accessible copy),February 2024,33 Ashbury/18th,"131,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,33 Ashbury/18th,"152,000"
Monthly Route Recovery,January 2024,33 Ashbury/18th,0.876513731
Route Monthly Total Boardings (accessible copy),January 2024,33 Ashbury/18th,"138,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,33 Ashbury/18th,"158,000"
Monthly Route Recovery,December 2023,33 Ashbury/18th,0.860332826
Route Monthly Total Boardings (accessible copy),December 2023,33 Ashbury/18th,"136,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,33 Ashbury/18th,"158,000"
Monthly Route Recovery,November 2023,33 Ashbury/18th,0.875025571
Route Monthly Total Boardings (accessible copy),November 2023,33 Ashbury/18th,"142,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,33 Ashbury/18th,"163,000"
Monthly Route Recovery,October 2023,33 Ashbury/18th,0.836667598
Route Monthly Total Boardings (accessible copy),October 2023,33 Ashbury/18th,"161,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,33 Ashbury/18th,"192,000"
Monthly Route Recovery,September 2023,33 Ashbury/18th,0.855476147
Route Monthly Total Boardings (accessible copy),September 2023,33 Ashbury/18th,"153,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,33 Ashbury/18th,"179,000"
Monthly Route Recovery,August 2023,33 Ashbury/18th,0.946066544
Route Monthly Total Boardings (accessible copy),August 2023,33 Ashbury/18th,"155,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,33 Ashbury/18th,"164,000"
Monthly Route Recovery,July 2023,33 Ashbury/18th,0.819752802
Route Monthly Total Boardings (accessible copy),July 2023,33 Ashbury/18th,"138,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,33 Ashbury/18th,"168,000"
Monthly Route Recovery,June 2023,33 Ashbury/18th,0.829620020
Route Monthly Total Boardings (accessible copy),June 2023,33 Ashbury/18th,"137,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,33 Ashbury/18th,"165,000"
Monthly Route Recovery,May 2023,33 Ashbury/18th,0.857822782
Route Monthly Total Boardings (accessible copy),May 2023,33 Ashbury/18th,"145,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,33 Ashbury/18th,"169,000"
Monthly Route Recovery,April 2023,33 Ashbury/18th,0.855691868
Route Monthly Total Boardings (accessible copy),April 2023,33 Ashbury/18th,"140,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,33 Ashbury/18th,"164,000"
Monthly Route Recovery,March 2023,33 Ashbury/18th,0.827905596
Route Monthly Total Boardings (accessible copy),March 2023,33 Ashbury/18th,"136,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,33 Ashbury/18th,"164,000"
Monthly Route Recovery,February 2023,33 Ashbury/18th,0.792225805
Route Monthly Total Boardings (accessible copy),February 2023,33 Ashbury/18th,"120,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,33 Ashbury/18th,"152,000"
Monthly Route Recovery,February 2024,35 Eureka,0.334838896
Route Monthly Total Boardings (accessible copy),February 2024,35 Eureka,"8,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,35 Eureka,"25,000"
Monthly Route Recovery,January 2024,35 Eureka,0.330295517
Route Monthly Total Boardings (accessible copy),January 2024,35 Eureka,"9,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,35 Eureka,"28,000"
Monthly Route Recovery,December 2023,35 Eureka,0.455292118
Route Monthly Total Boardings (accessible copy),December 2023,35 Eureka,"7,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,35 Eureka,"16,000"
Monthly Route Recovery,November 2023,35 Eureka,0.191179037
Route Monthly Total Boardings (accessible copy),November 2023,35 Eureka,"5,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,35 Eureka,"27,000"
Monthly Route Recovery,October 2023,35 Eureka,0.126804123
Route Monthly Total Boardings (accessible copy),October 2023,35 Eureka,"4,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,35 Eureka,"34,000"
Monthly Route Recovery,September 2023,35 Eureka,0.335471152
Route Monthly Total Boardings (accessible copy),September 2023,35 Eureka,"9,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,35 Eureka,"28,000"
Monthly Route Recovery,August 2023,35 Eureka,0.315049922
Route Monthly Total Boardings (accessible copy),August 2023,35 Eureka,"8,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,35 Eureka,"26,000"
Monthly Route Recovery,July 2023,35 Eureka,0.380946628
Route Monthly Total Boardings (accessible copy),July 2023,35 Eureka,"11,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,35 Eureka,"29,000"
Monthly Route Recovery,June 2023,35 Eureka,0.369649790
Route Monthly Total Boardings (accessible copy),June 2023,35 Eureka,"11,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,35 Eureka,"29,000"
Monthly Route Recovery,May 2023,35 Eureka,0.344254665
Route Monthly Total Boardings (accessible copy),May 2023,35 Eureka,"11,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,35 Eureka,"32,000"
Monthly Route Recovery,April 2023,35 Eureka,0.297174491
Route Monthly Total Boardings (accessible copy),April 2023,35 Eureka,"9,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,35 Eureka,"29,000"
Monthly Route Recovery,March 2023,35 Eureka,0.267298507
Route Monthly Total Boardings (accessible copy),March 2023,35 Eureka,"8,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,35 Eureka,"31,000"
Monthly Route Recovery,February 2023,35 Eureka,0.215821876
Route Monthly Total Boardings (accessible copy),February 2023,35 Eureka,"5,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,35 Eureka,"25,000"
Monthly Route Recovery,February 2024,36 Teresita,0.582070771
Route Monthly Total Boardings (accessible copy),February 2024,36 Teresita,"16,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,36 Teresita,"28,000"
Monthly Route Recovery,January 2024,36 Teresita,0.538688109
